Requirement_ID,State,Product,Clause_ID,Effective_Date,Required_Version
RR00001,CT,PPO,CL0522,2025-01-01,4
RR00002,CT,PPO,CL0942,2025-01-01,2
RR00003,CT,PPO,CL0742,2025-01-01,5
RR00004,CT,PPO,CL0981,2025-01-01,2
RR00005,CT,PPO,CL0412,2025-01-01,4
RR00006,CT,PPO,CL0680,2025-01-01,1
RR00007,CT,PPO,CL0674,2025-01-01,5
RR00008,CT,PPO,CL0514,2025-01-01,1
RR00009,CT,PPO,CL0774,2025-01-01,1
RR00010,CT,PPO,CL0137,2025-01-01,1
RR00011,CT,PPO,CL0890,2025-01-01,3
RR00012,CT,HMO,CL0464,2025-01-01,4
RR00013,CT,HMO,CL0758,2025-01-01,3
RR00014,CT,HMO,CL0043,2025-01-01,5
RR00015,CT,HMO,CL0902,2025-01-01,4
RR00016,CT,HMO,CL0331,2025-01-01,2
RR00017,CT,HMO,CL0528,2025-01-01,2
RR00018,CT,HMO,CL0508,2025-01-01,1
RR00019,CT,HMO,CL0618,2025-01-01,5
RR00020,CT,HMO,CL0709,2025-01-01,4
RR00021,CT,HMO,CL0881,2025-01-01,2
RR00022,CT,HMO,CL0248,2025-01-01,5
RR00023,CT,HMO,CL0631,2025-01-01,1
RR00024,CT,EPO,CL0970,2025-01-01,4
RR00025,CT,EPO,CL0928,2025-01-01,1
RR00026,CT,EPO,CL0979,2025-01-01,5
RR00027,CT,EPO,CL0426,2025-01-01,4
RR00028,CT,EPO,CL0201,2025-01-01,3
RR00029,CT,EPO,CL0803,2025-01-01,5
RR00030,CT,EPO,CL0874,2025-01-01,4
RR00031,CT,EPO,CL0859,2025-01-01,3
RR00032,CT,EPO,CL0635,2025-01-01,1
RR00033,CT,EPO,CL0547,2025-01-01,4
RR00034,CT,EPO,CL0377,2025-01-01,3
RR00035,CT,POS,CL0034,2025-01-01,5
RR00036,CT,POS,CL0080,2025-01-01,4
RR00037,CT,POS,CL0095,2025-01-01,1
RR00038,CT,POS,CL0187,2025-01-01,5
RR00039,CT,POS,CL0458,2025-01-01,2
RR00040,CT,POS,CL0624,2025-01-01,4
RR00041,CT,POS,CL0848,2025-01-01,5
RR00042,CT,POS,CL0085,2025-01-01,4
RR00043,CT,POS,CL0707,2025-01-01,4
RR00044,CT,POS,CL0805,2025-01-01,2
RR00045,CT,POS,CL0657,2025-01-01,3
RR00046,NY,PPO,CL0654,2025-01-01,3
RR00047,NY,PPO,CL0930,2025-01-01,5
RR00048,NY,PPO,CL0647,2025-01-01,1
RR00049,NY,PPO,CL0223,2025-01-01,4
RR00050,NY,PPO,CL0891,2025-01-01,3
RR00051,NY,PPO,CL0067,2025-01-01,5
RR00052,NY,PPO,CL0987,2025-01-01,4
RR00053,NY,PPO,CL0437,2025-01-01,2
RR00054,NY,PPO,CL0641,2025-01-01,4
RR00055,NY,HMO,CL0102,2025-01-01,5
RR00056,NY,HMO,CL0170,2025-01-01,5
RR00057,NY,HMO,CL0117,2025-01-01,1
RR00058,NY,HMO,CL0207,2025-01-01,5
RR00059,NY,HMO,CL0264,2025-01-01,1
RR00060,NY,EPO,CL0077,2025-01-01,4
RR00061,NY,EPO,CL0852,2025-01-01,1
RR00062,NY,EPO,CL0877,2025-01-01,5
RR00063,NY,EPO,CL0311,2025-01-01,3
RR00064,NY,EPO,CL0729,2025-01-01,4
RR00065,NY,EPO,CL0755,2025-01-01,5
RR00066,NY,EPO,CL0687,2025-01-01,3
RR00067,NY,EPO,CL0710,2025-01-01,2
RR00068,NY,EPO,CL0464,2025-01-01,4
RR00069,NY,EPO,CL0133,2025-01-01,2
RR00070,NY,POS,CL0331,2025-01-01,4
RR00071,NY,POS,CL0317,2025-01-01,2
RR00072,NY,POS,CL0023,2025-01-01,2
RR00073,NY,POS,CL0257,2025-01-01,1
RR00074,NY,POS,CL0747,2025-01-01,5
RR00075,NY,POS,CL0240,2025-01-01,1
RR00076,NY,POS,CL0909,2025-01-01,2
RR00077,NY,POS,CL0872,2025-01-01,2
RR00078,NY,POS,CL0802,2025-01-01,5
RR00079,NY,POS,CL0750,2025-01-01,4
RR00080,NY,POS,CL0937,2025-01-01,4
RR00081,NY,POS,CL0163,2025-01-01,5
RR00082,NY,POS,CL0982,2025-01-01,5
RR00083,NJ,PPO,CL0327,2025-01-01,3
RR00084,NJ,PPO,CL0023,2025-01-01,5
RR00085,NJ,PPO,CL0672,2025-01-01,4
RR00086,NJ,PPO,CL0618,2025-01-01,3
RR00087,NJ,PPO,CL0045,2025-01-01,4
RR00088,NJ,PPO,CL0155,2025-01-01,4
RR00089,NJ,PPO,CL0306,2025-01-01,5
RR00090,NJ,PPO,CL0806,2025-01-01,3
RR00091,NJ,PPO,CL0689,2025-01-01,1
RR00092,NJ,PPO,CL0593,2025-01-01,2
RR00093,NJ,HMO,CL0388,2025-01-01,5
RR00094,NJ,HMO,CL0304,2025-01-01,4
RR00095,NJ,HMO,CL0760,2025-01-01,3
RR00096,NJ,HMO,CL0050,2025-01-01,4
RR00097,NJ,HMO,CL0040,2025-01-01,2
RR00098,NJ,HMO,CL0397,2025-01-01,4
RR00099,NJ,HMO,CL0087,2025-01-01,5
RR00100,NJ,HMO,CL0446,2025-01-01,4
RR00101,NJ,HMO,CL0990,2025-01-01,1
RR00102,NJ,HMO,CL0274,2025-01-01,4
RR00103,NJ,HMO,CL0069,2025-01-01,5
RR00104,NJ,EPO,CL0697,2025-01-01,1
RR00105,NJ,EPO,CL0662,2025-01-01,4
RR00106,NJ,EPO,CL0471,2025-01-01,1
RR00107,NJ,EPO,CL0581,2025-01-01,4
RR00108,NJ,EPO,CL0926,2025-01-01,1
RR00109,NJ,EPO,CL0500,2025-01-01,4
RR00110,NJ,EPO,CL0372,2025-01-01,1
RR00111,NJ,EPO,CL0519,2025-01-01,2
RR00112,NJ,EPO,CL0441,2025-01-01,5
RR00113,NJ,EPO,CL0676,2025-01-01,1
RR00114,NJ,EPO,CL0638,2025-01-01,5
RR00115,NJ,EPO,CL0717,2025-01-01,2
RR00116,NJ,EPO,CL0964,2025-01-01,2
RR00117,NJ,POS,CL0294,2025-01-01,1
RR00118,NJ,POS,CL0513,2025-01-01,3
RR00119,NJ,POS,CL0104,2025-01-01,5
RR00120,NJ,POS,CL0023,2025-01-01,5
RR00121,NJ,POS,CL0453,2025-01-01,3
RR00122,NJ,POS,CL0469,2025-01-01,3
RR00123,NJ,POS,CL0554,2025-01-01,1
RR00124,NJ,POS,CL0002,2025-01-01,4
RR00125,MA,PPO,CL0349,2025-01-01,5
RR00126,MA,PPO,CL0915,2025-01-01,4
RR00127,MA,PPO,CL0539,2025-01-01,3
RR00128,MA,PPO,CL0413,2025-01-01,5
RR00129,MA,PPO,CL0190,2025-01-01,2
RR00130,MA,PPO,CL0073,2025-01-01,5
RR00131,MA,HMO,CL0803,2025-01-01,3
RR00132,MA,HMO,CL0404,2025-01-01,2
RR00133,MA,HMO,CL0033,2025-01-01,4
RR00134,MA,HMO,CL0507,2025-01-01,2
RR00135,MA,HMO,CL0734,2025-01-01,5
RR00136,MA,HMO,CL0724,2025-01-01,4
RR00137,MA,HMO,CL0483,2025-01-01,4
RR00138,MA,HMO,CL0913,2025-01-01,1
RR00139,MA,HMO,CL0842,2025-01-01,5
RR00140,MA,HMO,CL0123,2025-01-01,1
RR00141,MA,HMO,CL0247,2025-01-01,1
RR00142,MA,HMO,CL0092,2025-01-01,3
RR00143,MA,HMO,CL0387,2025-01-01,1
RR00144,MA,EPO,CL0661,2025-01-01,1
RR00145,MA,EPO,CL0129,2025-01-01,5
RR00146,MA,EPO,CL0541,2025-01-01,2
RR00147,MA,EPO,CL0755,2025-01-01,2
RR00148,MA,EPO,CL0521,2025-01-01,3
RR00149,MA,EPO,CL0983,2025-01-01,2
RR00150,MA,POS,CL0786,2025-01-01,3
RR00151,MA,POS,CL0457,2025-01-01,1
RR00152,MA,POS,CL0274,2025-01-01,3
RR00153,MA,POS,CL0943,2025-01-01,4
RR00154,MA,POS,CL0310,2025-01-01,3
RR00155,MA,POS,CL0725,2025-01-01,4
RR00156,MA,POS,CL0225,2025-01-01,4
RR00157,MA,POS,CL0209,2025-01-01,3
RR00158,MA,POS,CL0612,2025-01-01,5
RR00159,MA,POS,CL0684,2025-01-01,5
RR00160,MA,POS,CL0475,2025-01-01,5
RR00161,MA,POS,CL0660,2025-01-01,2
RR00162,PA,PPO,CL0474,2025-01-01,4
RR00163,PA,PPO,CL0563,2025-01-01,5
RR00164,PA,PPO,CL0441,2025-01-01,2
RR00165,PA,PPO,CL0841,2025-01-01,4
RR00166,PA,PPO,CL0943,2025-01-01,5
RR00167,PA,PPO,CL0139,2025-01-01,2
RR00168,PA,PPO,CL0182,2025-01-01,4
RR00169,PA,PPO,CL0994,2025-01-01,3
RR00170,PA,PPO,CL0006,2025-01-01,5
RR00171,PA,PPO,CL0716,2025-01-01,5
RR00172,PA,PPO,CL0348,2025-01-01,3
RR00173,PA,HMO,CL0455,2025-01-01,5
RR00174,PA,HMO,CL0371,2025-01-01,2
RR00175,PA,HMO,CL0046,2025-01-01,4
RR00176,PA,HMO,CL0251,2025-01-01,2
RR00177,PA,HMO,CL0770,2025-01-01,3
RR00178,PA,HMO,CL0140,2025-01-01,3
RR00179,PA,HMO,CL0634,2025-01-01,5
RR00180,PA,HMO,CL0699,2025-01-01,3
RR00181,PA,HMO,CL0966,2025-01-01,5
RR00182,PA,HMO,CL0416,2025-01-01,4
RR00183,PA,HMO,CL0922,2025-01-01,5
RR00184,PA,EPO,CL0863,2025-01-01,2
RR00185,PA,EPO,CL0290,2025-01-01,5
RR00186,PA,EPO,CL0706,2025-01-01,3
RR00187,PA,EPO,CL0879,2025-01-01,3
RR00188,PA,EPO,CL0211,2025-01-01,5
RR00189,PA,POS,CL0612,2025-01-01,1
RR00190,PA,POS,CL0152,2025-01-01,5
RR00191,PA,POS,CL0876,2025-01-01,5
RR00192,PA,POS,CL0983,2025-01-01,1
RR00193,PA,POS,CL0510,2025-01-01,1
RR00194,PA,POS,CL0210,2025-01-01,5
RR00195,PA,POS,CL0899,2025-01-01,5
RR00196,PA,POS,CL0562,2025-01-01,1
RR00197,CA,PPO,CL0774,2025-01-01,2
RR00198,CA,PPO,CL0671,2025-01-01,4
RR00199,CA,PPO,CL0036,2025-01-01,5
RR00200,CA,PPO,CL0869,2025-01-01,1
RR00201,CA,PPO,CL0422,2025-01-01,2
RR00202,CA,HMO,CL0349,2025-01-01,2
RR00203,CA,HMO,CL0489,2025-01-01,2
RR00204,CA,HMO,CL0283,2025-01-01,1
RR00205,CA,HMO,CL0797,2025-01-01,1
RR00206,CA,HMO,CL0051,2025-01-01,5
RR00207,CA,HMO,CL0407,2025-01-01,4
RR00208,CA,HMO,CL0386,2025-01-01,5
RR00209,CA,HMO,CL0437,2025-01-01,2
RR00210,CA,HMO,CL0926,2025-01-01,2
RR00211,CA,HMO,CL0290,2025-01-01,4
RR00212,CA,HMO,CL0497,2025-01-01,2
RR00213,CA,EPO,CL0909,2025-01-01,4
RR00214,CA,EPO,CL0973,2025-01-01,2
RR00215,CA,EPO,CL0175,2025-01-01,2
RR00216,CA,EPO,CL0580,2025-01-01,3
RR00217,CA,EPO,CL0306,2025-01-01,1
RR00218,CA,EPO,CL0090,2025-01-01,3
RR00219,CA,EPO,CL0295,2025-01-01,2
RR00220,CA,EPO,CL0243,2025-01-01,5
RR00221,CA,EPO,CL0918,2025-01-01,3
RR00222,CA,EPO,CL0272,2025-01-01,2
RR00223,CA,POS,CL0453,2025-01-01,4
RR00224,CA,POS,CL0022,2025-01-01,3
RR00225,CA,POS,CL0464,2025-01-01,2
RR00226,CA,POS,CL0625,2025-01-01,3
RR00227,CA,POS,CL0398,2025-01-01,3
RR00228,CA,POS,CL0793,2025-01-01,4
RR00229,CA,POS,CL0711,2025-01-01,4
RR00230,CA,POS,CL0602,2025-01-01,1
RR00231,CA,POS,CL0429,2025-01-01,2
RR00232,CA,POS,CL0995,2025-01-01,1
RR00233,CA,POS,CL0067,2025-01-01,4
RR00234,CA,POS,CL0340,2025-01-01,3
RR00235,CA,POS,CL0878,2025-01-01,4
RR00236,CA,POS,CL0904,2025-01-01,5
RR00237,TX,PPO,CL0690,2025-01-01,2
RR00238,TX,PPO,CL0106,2025-01-01,1
RR00239,TX,PPO,CL0065,2025-01-01,2
RR00240,TX,PPO,CL0095,2025-01-01,3
RR00241,TX,PPO,CL0294,2025-01-01,2
RR00242,TX,HMO,CL0670,2025-01-01,4
RR00243,TX,HMO,CL0546,2025-01-01,5
RR00244,TX,HMO,CL0681,2025-01-01,3
RR00245,TX,HMO,CL0188,2025-01-01,5
RR00246,TX,HMO,CL0442,2025-01-01,3
RR00247,TX,HMO,CL0125,2025-01-01,4
RR00248,TX,HMO,CL0554,2025-01-01,1
RR00249,TX,HMO,CL0156,2025-01-01,5
RR00250,TX,HMO,CL0434,2025-01-01,5
RR00251,TX,HMO,CL0770,2025-01-01,1
RR00252,TX,HMO,CL0653,2025-01-01,5
RR00253,TX,HMO,CL0317,2025-01-01,2
RR00254,TX,HMO,CL0333,2025-01-01,1
RR00255,TX,EPO,CL0837,2025-01-01,3
RR00256,TX,EPO,CL0842,2025-01-01,4
RR00257,TX,EPO,CL0898,2025-01-01,5
RR00258,TX,EPO,CL0311,2025-01-01,4
RR00259,TX,EPO,CL0743,2025-01-01,4
RR00260,TX,EPO,CL0490,2025-01-01,5
RR00261,TX,EPO,CL0909,2025-01-01,2
RR00262,TX,EPO,CL0206,2025-01-01,5
RR00263,TX,EPO,CL0636,2025-01-01,4
RR00264,TX,EPO,CL0307,2025-01-01,1
RR00265,TX,EPO,CL0950,2025-01-01,5
RR00266,TX,POS,CL0533,2025-01-01,2
RR00267,TX,POS,CL0542,2025-01-01,5
RR00268,TX,POS,CL0202,2025-01-01,2
RR00269,TX,POS,CL0612,2025-01-01,2
RR00270,TX,POS,CL0096,2025-01-01,5
RR00271,TX,POS,CL0308,2025-01-01,4
RR00272,TX,POS,CL0213,2025-01-01,3
RR00273,TX,POS,CL0332,2025-01-01,5
RR00274,TX,POS,CL0274,2025-01-01,4
RR00275,TX,POS,CL0623,2025-01-01,2
RR00276,TX,POS,CL0210,2025-01-01,1
RR00277,TX,POS,CL0950,2025-01-01,3
RR00278,FL,PPO,CL0673,2025-01-01,2
RR00279,FL,PPO,CL0977,2025-01-01,3
RR00280,FL,PPO,CL0373,2025-01-01,1
RR00281,FL,PPO,CL0050,2025-01-01,2
RR00282,FL,PPO,CL0048,2025-01-01,4
RR00283,FL,PPO,CL0990,2025-01-01,2
RR00284,FL,PPO,CL0904,2025-01-01,4
RR00285,FL,PPO,CL0796,2025-01-01,4
RR00286,FL,PPO,CL0598,2025-01-01,5
RR00287,FL,PPO,CL0433,2025-01-01,2
RR00288,FL,PPO,CL0912,2025-01-01,3
RR00289,FL,PPO,CL0273,2025-01-01,4
RR00290,FL,HMO,CL0913,2025-01-01,1
RR00291,FL,HMO,CL0274,2025-01-01,3
RR00292,FL,HMO,CL0596,2025-01-01,3
RR00293,FL,HMO,CL0808,2025-01-01,4
RR00294,FL,HMO,CL0334,2025-01-01,5
RR00295,FL,HMO,CL0236,2025-01-01,3
RR00296,FL,HMO,CL0158,2025-01-01,2
RR00297,FL,HMO,CL0302,2025-01-01,4
RR00298,FL,HMO,CL0591,2025-01-01,4
RR00299,FL,HMO,CL0576,2025-01-01,3
RR00300,FL,HMO,CL0573,2025-01-01,2
RR00301,FL,EPO,CL0048,2025-01-01,1
RR00302,FL,EPO,CL0067,2025-01-01,2
RR00303,FL,EPO,CL0912,2025-01-01,4
RR00304,FL,EPO,CL0291,2025-01-01,4
RR00305,FL,EPO,CL0499,2025-01-01,4
RR00306,FL,EPO,CL0856,2025-01-01,3
RR00307,FL,EPO,CL0993,2025-01-01,2
RR00308,FL,POS,CL0355,2025-01-01,5
RR00309,FL,POS,CL0762,2025-01-01,3
RR00310,FL,POS,CL0372,2025-01-01,1
RR00311,FL,POS,CL0285,2025-01-01,1
RR00312,FL,POS,CL0390,2025-01-01,4
RR00313,FL,POS,CL0698,2025-01-01,1
RR00314,FL,POS,CL0929,2025-01-01,4
RR00315,FL,POS,CL0319,2025-01-01,2
RR00316,FL,POS,CL0118,2025-01-01,3
RR00317,IL,PPO,CL0069,2025-01-01,3
RR00318,IL,PPO,CL0391,2025-01-01,2
RR00319,IL,PPO,CL0649,2025-01-01,3
RR00320,IL,PPO,CL0296,2025-01-01,3
RR00321,IL,PPO,CL0068,2025-01-01,1
RR00322,IL,PPO,CL0270,2025-01-01,2
RR00323,IL,PPO,CL0340,2025-01-01,1
RR00324,IL,PPO,CL0078,2025-01-01,2
RR00325,IL,PPO,CL0908,2025-01-01,5
RR00326,IL,PPO,CL0384,2025-01-01,3
RR00327,IL,PPO,CL0393,2025-01-01,2
RR00328,IL,PPO,CL0115,2025-01-01,3
RR00329,IL,PPO,CL0553,2025-01-01,3
RR00330,IL,PPO,CL0666,2025-01-01,4
RR00331,IL,HMO,CL0828,2025-01-01,4
RR00332,IL,HMO,CL0701,2025-01-01,3
RR00333,IL,HMO,CL0276,2025-01-01,5
RR00334,IL,HMO,CL0378,2025-01-01,4
RR00335,IL,HMO,CL0329,2025-01-01,5
RR00336,IL,HMO,CL0681,2025-01-01,5
RR00337,IL,HMO,CL0476,2025-01-01,2
RR00338,IL,HMO,CL0155,2025-01-01,4
RR00339,IL,HMO,CL0696,2025-01-01,4
RR00340,IL,HMO,CL0347,2025-01-01,1
RR00341,IL,HMO,CL0157,2025-01-01,5
RR00342,IL,HMO,CL0249,2025-01-01,3
RR00343,IL,EPO,CL0283,2025-01-01,2
RR00344,IL,EPO,CL0714,2025-01-01,1
RR00345,IL,EPO,CL0908,2025-01-01,4
RR00346,IL,EPO,CL0770,2025-01-01,3
RR00347,IL,EPO,CL0164,2025-01-01,1
RR00348,IL,EPO,CL0159,2025-01-01,2
RR00349,IL,EPO,CL0107,2025-01-01,4
RR00350,IL,EPO,CL0325,2025-01-01,1
RR00351,IL,EPO,CL0658,2025-01-01,3
RR00352,IL,EPO,CL0767,2025-01-01,2
RR00353,IL,EPO,CL0683,2025-01-01,3
RR00354,IL,EPO,CL0531,2025-01-01,3
RR00355,IL,EPO,CL0946,2025-01-01,2
RR00356,IL,EPO,CL0557,2025-01-01,5
RR00357,IL,POS,CL0276,2025-01-01,4
RR00358,IL,POS,CL0064,2025-01-01,1
RR00359,IL,POS,CL0963,2025-01-01,2
RR00360,IL,POS,CL0914,2025-01-01,5
RR00361,IL,POS,CL0076,2025-01-01,4
RR00362,IL,POS,CL0214,2025-01-01,2
RR00363,IL,POS,CL0844,2025-01-01,4
RR00364,IL,POS,CL0593,2025-01-01,2
RR00365,IL,POS,CL0788,2025-01-01,4
RR00366,IL,POS,CL0975,2025-01-01,1
RR00367,IL,POS,CL0010,2025-01-01,3
RR00368,IL,POS,CL0393,2025-01-01,1
RR00369,IL,POS,CL0631,2025-01-01,5
RR00370,IL,POS,CL0034,2025-01-01,4
RR00371,OH,PPO,CL0907,2025-01-01,1
RR00372,OH,PPO,CL0603,2025-01-01,4
RR00373,OH,PPO,CL0396,2025-01-01,1
RR00374,OH,PPO,CL0905,2025-01-01,1
RR00375,OH,PPO,CL0282,2025-01-01,2
RR00376,OH,PPO,CL0924,2025-01-01,5
RR00377,OH,PPO,CL0726,2025-01-01,5
RR00378,OH,HMO,CL0659,2025-01-01,3
RR00379,OH,HMO,CL0382,2025-01-01,3
RR00380,OH,HMO,CL0663,2025-01-01,4
RR00381,OH,HMO,CL0872,2025-01-01,3
RR00382,OH,HMO,CL0354,2025-01-01,3
RR00383,OH,HMO,CL0449,2025-01-01,5
RR00384,OH,HMO,CL0536,2025-01-01,2
RR00385,OH,HMO,CL0954,2025-01-01,2
RR00386,OH,HMO,CL0234,2025-01-01,3
RR00387,OH,EPO,CL0563,2025-01-01,1
RR00388,OH,EPO,CL0049,2025-01-01,2
RR00389,OH,EPO,CL0354,2025-01-01,4
RR00390,OH,EPO,CL0026,2025-01-01,3
RR00391,OH,EPO,CL0435,2025-01-01,5
RR00392,OH,EPO,CL0837,2025-01-01,3
RR00393,OH,EPO,CL0182,2025-01-01,4
RR00394,OH,EPO,CL0332,2025-01-01,4
RR00395,OH,EPO,CL0473,2025-01-01,5
RR00396,OH,EPO,CL0898,2025-01-01,5
RR00397,OH,EPO,CL0050,2025-01-01,2
RR00398,OH,EPO,CL0692,2025-01-01,1
RR00399,OH,EPO,CL0841,2025-01-01,3
RR00400,OH,POS,CL0509,2025-01-01,1
RR00401,OH,POS,CL0122,2025-01-01,2
RR00402,OH,POS,CL0569,2025-01-01,2
RR00403,OH,POS,CL0366,2025-01-01,3
RR00404,OH,POS,CL0013,2025-01-01,1
RR00405,OH,POS,CL0391,2025-01-01,3
