Load_ID,Policy_ID,State,Product,Clause_ID,Policy_Version,Loaded_Version,Load_Date,Loaded_By,Required_Clause_Version
L000193,P100021,CT,POS,CL0085,5,2,2025-04-06,UserC,4
L000210,P100023,CA,PPO,CL0422,2,3,2025-02-23,UserA,2
L000265,P100029,MA,EPO,CL0129,5,1,2025-10-31,UserA,5
L000398,P100041,NY,POS,CL0331,2,3,2025-03-04,UserC,4
L000400,P100041,NY,POS,CL0023,2,5,2025-05-05,UserC,2
L000479,P100048,TX,POS,CL0950,3,4,2025-10-16,System,3
L000534,P100054,FL,POS,CL0372,2,2,2025-11-10,System,1
L000543,P100055,MA,POS,CL0274,1,4,2025-08-15,UserC,3
L000556,P100056,NY,HMO,CL0207,1,3,2025-10-06,UserB,5
L000566,P100057,CA,HMO,CL0926,5,4,2025-07-06,System,2
L000570,P100058,CA,PPO,CL0671,5,3,2025-08-21,UserB,4
L000650,P100067,FL,PPO,CL0912,4,5,2025-12-14,System,3
L000736,P100075,OH,EPO,CL0050,4,4,2025-10-10,System,2
L000765,P100077,IL,EPO,CL0946,2,1,2025-03-13,UserB,2
L000921,P100092,PA,EPO,CL0706,4,2,2025-03-08,UserC,3
L000939,P100094,TX,HMO,CL0770,5,2,2025-08-14,UserC,1
L000976,P100098,IL,POS,CL0276,2,3,2025-12-01,System,4
L001052,P100104,FL,EPO,CL0067,4,4,2025-02-11,System,2
L001083,P100107,FL,EPO,CL0067,3,4,2025-06-06,UserA,2
L001122,P100110,CT,EPO,CL0547,1,5,2025-05-28,System,4
L001198,P100117,TX,HMO,CL0156,5,2,2025-03-04,UserA,5
L001324,P100131,TX,HMO,CL0670,5,5,2025-12-25,UserC,4
L001384,P100136,IL,EPO,CL0770,1,5,2025-10-22,System,3
L001465,P100143,TX,PPO,CL0095,2,1,2025-06-25,UserC,3
L001482,P100145,CT,POS,CL0458,4,3,2025-06-20,UserB,2
L001738,P100170,NJ,POS,CL0513,4,5,2025-12-03,UserC,3
L001805,P100176,CT,HMO,CL0709,1,2,2025-10-16,System,4
L001873,P100183,CT,EPO,CL0874,1,1,2025-01-12,UserB,4
L001934,P100189,TX,HMO,CL0188,3,2,2025-05-11,UserB,5
L001935,P100189,TX,HMO,CL0442,3,5,2025-08-25,UserB,3
L001936,P100189,TX,HMO,CL0125,3,3,2025-01-18,UserA,4
L002000,P100196,PA,HMO,CL0251,2,1,2025-11-08,UserC,2
L002024,P100199,CA,POS,CL0793,2,1,2025-08-30,UserC,4
L002193,P100214,IL,HMO,CL0155,2,1,2025-11-06,UserA,4
L002207,P100215,CT,EPO,CL0547,5,3,2025-05-01,System,4
L002230,P100217,TX,HMO,CL0770,5,4,2025-06-24,System,1
L002295,P100223,NY,POS,CL0240,1,2,2025-11-22,UserA,1
L002362,P100229,IL,HMO,CL0696,5,1,2025-11-07,UserA,4
L002412,P100234,PA,POS,CL0612,1,2,2025-06-22,UserA,1
L002428,P100235,PA,HMO,CL0966,3,1,2025-05-10,System,5
L002440,P100236,TX,HMO,CL0770,3,2,2025-03-24,System,1
L002469,P100238,IL,HMO,CL0249,3,5,2025-06-04,UserB,3
L002548,P100247,FL,HMO,CL0808,3,2,2025-02-12,UserA,4
L002582,P100250,FL,PPO,CL0433,3,3,2025-04-15,UserA,2
L002608,P100252,CA,POS,CL0340,4,1,2025-11-30,UserC,3
L002637,P100255,NJ,PPO,CL0672,2,5,2025-03-27,System,4
L002804,P100273,TX,HMO,CL0156,4,1,2025-10-29,UserA,5
L002818,P100274,NJ,EPO,CL0441,4,4,2025-10-22,System,5
L002825,P100275,CT,EPO,CL0979,5,3,2025-07-01,System,5
L002888,P100281,CA,PPO,CL0774,2,3,2025-04-27,UserA,2
L002923,P100285,FL,EPO,CL0499,5,3,2025-12-10,System,4
L003089,P100302,CT,POS,CL0080,1,3,2025-02-08,System,4
L003312,P100324,NY,PPO,CL0647,2,2,2025-05-23,UserB,1
L003372,P100329,IL,PPO,CL0666,1,5,2025-02-17,System,4
L003381,P100330,CA,EPO,CL0918,5,2,2025-07-15,UserC,3
L003428,P100336,NY,EPO,CL0311,3,4,2025-07-15,UserA,3
L003454,P100338,FL,POS,CL0698,2,2,2025-10-27,UserB,1
L003524,P100345,FL,EPO,CL0856,4,2,2025-06-24,UserC,3
L003685,P100363,CA,EPO,CL0295,5,4,2025-08-02,UserB,2
L003741,P100369,TX,HMO,CL0670,5,5,2025-02-10,UserB,4
L003783,P100373,NJ,EPO,CL0697,5,2,2025-11-09,UserA,1
L003906,P100386,PA,EPO,CL0706,1,1,2025-10-09,System,3
L003983,P100394,OH,EPO,CL0332,2,2,2025-04-04,UserA,4
L004101,P100405,TX,HMO,CL0156,5,1,2025-07-08,System,5
L004448,P100439,FL,EPO,CL0993,2,1,2025-10-11,UserB,2
L004450,P100440,TX,EPO,CL0842,5,1,2025-07-01,UserC,4
L004457,P100440,TX,EPO,CL0636,5,1,2025-09-15,UserC,4
L004586,P100453,CT,EPO,CL0859,2,5,2025-04-28,UserB,3
L004817,P100477,IL,PPO,CL0553,2,2,2025-02-07,System,3
L004863,P100482,PA,HMO,CL0770,2,5,2025-02-17,System,3
L004937,P100488,MA,POS,CL0684,1,1,2025-01-29,UserB,5
L004944,P100489,NY,PPO,CL0891,5,4,2025-11-14,System,3
L005000,P100494,PA,POS,CL0210,2,4,2025-04-03,System,5
L005039,P100498,IL,PPO,CL0908,1,3,2025-04-16,UserA,5
L005054,P100499,NJ,EPO,CL0676,1,5,2025-02-01,System,1
L005109,P100504,IL,PPO,CL0115,2,2,2025-01-06,UserB,3
L005124,P100506,NJ,PPO,CL0023,4,1,2025-12-11,UserB,5
L005128,P100506,NJ,PPO,CL0155,4,1,2025-08-01,UserA,4
L005160,P100509,IL,EPO,CL0767,3,3,2025-01-13,UserB,2
L005204,P100513,MA,HMO,CL0033,1,3,2025-07-09,System,4
L005373,P100528,OH,PPO,CL0905,3,3,2025-06-11,UserB,1
L005393,P100530,TX,HMO,CL0188,4,3,2025-01-08,UserC,5
L005411,P100531,OH,HMO,CL0234,1,1,2025-10-10,UserC,3
L005528,P100543,OH,HMO,CL0354,3,1,2025-03-28,UserB,3
L005612,P100552,FL,PPO,CL0048,4,2,2025-10-11,UserA,4
L005694,P100559,MA,POS,CL0310,4,4,2025-05-10,System,3
L005744,P100565,OH,HMO,CL0536,5,4,2025-10-25,UserB,2
L005791,P100570,NY,HMO,CL0207,1,4,2025-05-05,System,5
L005829,P100574,IL,EPO,CL0770,4,2,2025-03-28,UserB,3
L006019,P100592,NJ,PPO,CL0306,3,1,2025-05-18,System,5
L006051,P100595,IL,POS,CL0214,4,5,2025-07-06,System,2
L006091,P100598,CT,EPO,CL0635,1,3,2025-08-17,System,1
L006107,P100600,PA,EPO,CL0706,1,1,2025-06-21,UserC,3
L006170,P100607,FL,POS,CL0355,1,3,2025-01-16,UserA,5
L006172,P100607,FL,POS,CL0372,1,3,2025-07-14,System,1
L006217,P100612,OH,PPO,CL0603,4,5,2025-03-09,UserB,4
L006218,P100612,OH,PPO,CL0396,4,2,2025-10-29,System,1
L006246,P100615,FL,HMO,CL0596,1,1,2025-02-14,UserB,3
L006269,P100617,NY,EPO,CL0755,1,4,2025-06-17,System,5
L006432,P100632,IL,HMO,CL0155,1,2,2025-02-06,UserB,4
L006468,P100636,NY,HMO,CL0102,1,4,2025-04-09,UserA,5
L006486,P100638,TX,POS,CL0202,3,3,2025-12-24,UserC,2
L006612,P100650,CT,HMO,CL0902,5,2,2025-03-23,UserA,4
L006780,P100668,OH,PPO,CL0907,3,2,2025-07-06,UserB,1
L006799,P100669,OH,EPO,CL0841,4,4,2025-11-22,UserB,3
L006846,P100674,CT,POS,CL0624,3,3,2025-01-03,UserC,4
L006847,P100674,CT,POS,CL0848,3,4,2025-11-10,System,5
L006892,P100678,CT,EPO,CL0803,3,2,2025-09-28,System,5
L006895,P100678,CT,EPO,CL0635,3,4,2025-10-05,UserC,1
L006953,P100685,NY,PPO,CL0067,2,2,2025-01-26,UserA,5
L007041,P100694,CT,POS,CL0034,4,3,2025-07-06,UserC,5
L007207,P100710,IL,EPO,CL0325,1,5,2025-10-16,System,1
L007317,P100722,CT,HMO,CL0758,2,4,2025-04-14,UserC,3
L007332,P100723,OH,PPO,CL0282,2,3,2025-07-01,UserC,2
L007410,P100731,NY,POS,CL0257,3,5,2025-02-28,UserC,1
L007460,P100735,TX,EPO,CL0743,4,5,2025-10-27,UserA,4
L007552,P100744,NJ,HMO,CL0274,2,5,2025-04-28,UserA,4
L007664,P100756,CT,EPO,CL0970,1,3,2025-12-24,UserA,4
L007679,P100757,PA,POS,CL0510,3,5,2025-02-14,System,1
L007858,P100774,CT,PPO,CL0514,4,2,2025-08-12,System,1
L007993,P100789,NY,PPO,CL0647,4,3,2025-02-11,System,1
L008057,P100795,TX,HMO,CL0434,5,2,2025-10-26,UserC,5
L008235,P100812,NY,EPO,CL0133,1,3,2025-06-21,UserB,2
L008264,P100816,FL,PPO,CL0977,3,2,2025-07-07,UserA,3
L008266,P100816,FL,PPO,CL0050,3,5,2025-11-01,System,2
L008275,P100817,FL,EPO,CL0048,3,3,2025-04-14,UserA,1
L008358,P100825,OH,HMO,CL0872,5,4,2025-05-20,System,3
L008364,P100826,NY,EPO,CL0077,1,3,2025-03-30,UserB,4
L008377,P100827,FL,POS,CL0285,4,3,2025-02-03,UserC,1
L008445,P100833,CA,EPO,CL0918,3,2,2025-09-06,UserA,3
L008471,P100837,TX,POS,CL0542,5,4,2025-08-04,UserB,5
L008517,P100841,IL,PPO,CL0649,2,5,2025-07-04,UserA,3
L008620,P100851,MA,POS,CL0943,5,3,2025-03-07,UserC,4
L008633,P100852,MA,POS,CL0310,5,5,2025-01-26,UserA,3
L008949,P100882,NY,EPO,CL0687,1,1,2025-04-25,UserB,3
L009038,P100891,MA,PPO,CL0349,3,2,2025-05-21,UserC,5
L009050,P100892,CT,PPO,CL0674,4,4,2025-04-29,UserB,5
L009057,P100893,PA,EPO,CL0706,1,4,2025-07-23,System,3
L009111,P100898,CA,POS,CL0602,2,4,2025-10-06,UserC,1
L009159,P100902,PA,POS,CL0983,3,2,2025-06-26,UserC,1
L009223,P100908,NJ,PPO,CL0689,1,5,2025-03-21,UserB,1
L009302,P100915,PA,PPO,CL0006,1,3,2025-03-30,UserA,5
L009337,P100919,PA,HMO,CL0634,1,2,2025-11-19,UserB,5
L009365,P100921,OH,EPO,CL0050,3,1,2025-07-05,System,2
L009438,P100929,TX,HMO,CL0670,4,1,2025-11-23,UserC,4
L009463,P100931,NJ,POS,CL0513,2,5,2025-07-27,System,3
L009641,P100947,CA,PPO,CL0422,2,3,2025-01-23,UserB,2
L009731,P100958,MA,POS,CL0457,2,3,2025-05-08,UserA,1
L009748,P100959,CA,HMO,CL0386,3,2,2025-03-14,System,5
L009779,P100962,PA,HMO,CL0371,1,1,2025-08-27,UserB,2
L009799,P100963,TX,EPO,CL0950,4,4,2025-08-16,UserA,5
L009970,P100983,NJ,POS,CL0513,2,5,2025-09-08,UserC,3
L010006,P100986,OH,EPO,CL0050,4,5,2025-09-25,UserC,2
L010118,P100999,IL,EPO,CL0714,1,2,2025-08-01,UserB,1
L010149,P101001,FL,PPO,CL0796,1,1,2025-03-27,UserB,4
L010162,P101002,MA,HMO,CL0842,1,3,2025-11-16,UserB,5
L010215,P101008,OH,HMO,CL0663,1,2,2025-08-26,UserB,4
L010246,P101011,IL,HMO,CL0329,3,1,2025-09-28,System,5
L010281,P101015,IL,PPO,CL0068,3,2,2025-09-01,UserA,1
L010290,P101015,IL,PPO,CL0666,3,1,2025-12-08,UserA,4
L010310,P101018,CT,HMO,CL0758,2,4,2025-03-01,UserC,3
L010443,P101031,PA,HMO,CL0770,3,1,2025-02-01,System,3
L010451,P101032,IL,POS,CL0064,1,2,2025-03-21,UserB,1
L010457,P101032,IL,POS,CL0593,1,1,2025-07-22,UserC,2
L010470,P101033,PA,PPO,CL0182,2,2,2025-02-06,System,4
L010603,P101046,NY,HMO,CL0264,4,3,2025-05-31,UserC,1
L010720,P101059,FL,EPO,CL0067,3,4,2025-10-25,System,2
L010824,P101068,CT,POS,CL0805,4,1,2025-05-30,System,2
L011105,P101097,CT,EPO,CL0547,1,2,2025-11-29,System,4
L011140,P101101,NJ,PPO,CL0023,5,2,2025-09-24,UserB,5
L011170,P101104,NJ,HMO,CL0446,5,2,2025-05-24,UserB,4
L011203,P101107,TX,POS,CL0308,5,5,2025-04-24,UserA,4
L011293,P101117,TX,HMO,CL0188,1,1,2025-05-31,UserA,5
L011327,P101120,IL,PPO,CL0340,4,2,2025-05-13,UserC,1
L011332,P101120,IL,PPO,CL0115,4,4,2025-06-03,UserB,3
L011553,P101144,NJ,POS,CL0469,1,2,2025-11-20,UserA,3
L011641,P101153,NJ,POS,CL0104,4,3,2025-04-30,UserC,5
L011687,P101157,PA,POS,CL0983,1,4,2025-04-22,UserB,1
L011692,P101158,PA,POS,CL0612,2,4,2025-11-13,UserB,1
L011730,P101161,NY,POS,CL0909,4,3,2025-11-14,UserA,2
L011740,P101162,PA,POS,CL0983,1,5,2025-06-03,UserB,1
L011778,P101166,CA,PPO,CL0671,4,2,2025-08-25,UserA,4
L011784,P101167,FL,HMO,CL0596,2,2,2025-08-19,UserC,3
L011857,P101173,NY,PPO,CL0067,4,2,2025-09-11,UserA,5
L011878,P101175,CT,HMO,CL0331,5,3,2025-05-14,UserC,2
L011977,P101185,OH,EPO,CL0435,4,1,2025-08-03,UserB,5
L012023,P101190,CA,EPO,CL0306,1,4,2025-10-08,System,1
L012048,P101194,MA,EPO,CL0661,3,4,2025-01-08,System,1
L012054,P101195,IL,HMO,CL0828,4,3,2025-09-27,UserB,4
L012062,P101195,IL,HMO,CL0696,4,2,2025-04-25,UserA,4
L012077,P101196,CA,POS,CL0340,1,5,2025-10-28,UserC,3
L012101,P101198,CT,PPO,CL0774,3,3,2025-09-16,UserA,1
L012139,P101203,TX,EPO,CL0898,1,2,2025-01-21,UserB,5
L012154,P101204,PA,HMO,CL0634,4,4,2025-03-17,System,5
L012236,P101211,NY,POS,CL0240,2,5,2025-10-28,UserC,1
L012273,P101214,TX,POS,CL0096,3,3,2025-08-08,UserC,5
L012304,P101216,CT,EPO,CL0377,1,5,2025-05-12,UserA,3
L012423,P101229,FL,EPO,CL0048,4,3,2025-01-12,UserB,1
L012719,P101257,IL,PPO,CL0384,3,1,2025-10-20,UserC,3
L012722,P101257,IL,PPO,CL0553,3,1,2025-06-15,UserC,3
L012765,P101261,IL,POS,CL0393,2,2,2025-12-20,UserB,1
L012800,P101265,TX,EPO,CL0898,5,2,2025-09-09,UserA,5
L012883,P101273,NJ,HMO,CL0304,4,5,2025-03-22,UserB,4
L013186,P101303,CA,HMO,CL0797,2,4,2025-11-12,UserC,1
L013273,P101312,TX,EPO,CL0311,3,5,2025-10-20,UserC,4
L013701,P101353,IL,HMO,CL0681,2,1,2025-01-08,UserC,5
L013727,P101355,IL,HMO,CL0157,4,2,2025-11-20,UserA,5
L013754,P101359,CT,HMO,CL0758,1,5,2025-02-22,UserB,3
L013857,P101368,CT,HMO,CL0508,5,2,2025-05-24,System,1
L014010,P101383,IL,PPO,CL0649,3,4,2025-04-13,UserB,3
L014183,P101400,FL,PPO,CL0048,1,3,2025-04-21,UserA,4
L014320,P101413,NJ,PPO,CL0327,2,2,2025-03-18,UserB,3
L014458,P101425,PA,PPO,CL0716,1,4,2025-04-30,System,5
L014473,P101427,IL,PPO,CL0296,5,4,2025-02-04,System,3
L014514,P101430,IL,EPO,CL0683,4,4,2025-04-05,UserB,3
L014528,P101431,NJ,HMO,CL0069,5,3,2025-06-04,System,5
L014532,P101432,IL,POS,CL0914,4,3,2025-11-02,UserA,5
L014564,P101434,OH,EPO,CL0841,5,2,2025-01-23,System,3
L014575,P101435,IL,HMO,CL0157,3,4,2025-11-17,System,5
L014609,P101438,PA,PPO,CL0716,5,2,2025-09-02,UserB,5
L014777,P101455,FL,PPO,CL0796,1,5,2025-01-28,UserB,4
L014796,P101457,NY,POS,CL0872,3,3,2025-09-15,UserB,2
L015003,P101478,OH,PPO,CL0282,5,1,2025-11-16,UserB,2
L015159,P101493,CA,POS,CL0625,5,4,2025-10-14,UserA,3
L015188,P101495,TX,EPO,CL0206,1,1,2025-04-21,UserA,5
L015204,P101497,IL,HMO,CL0378,3,2,2025-07-24,UserC,4
L015458,P101523,NJ,EPO,CL0519,3,1,2025-05-14,UserB,2
L015792,P101553,NY,POS,CL0937,3,2,2025-05-29,UserC,4
L015898,P101563,FL,POS,CL0355,5,2,2025-01-22,UserB,5
L015930,P101566,TX,EPO,CL0743,3,1,2025-09-28,UserC,4
L015959,P101568,PA,HMO,CL0416,4,1,2025-05-12,UserA,4
L015983,P101571,NJ,EPO,CL0441,5,2,2025-10-03,UserC,5
L016011,P101573,IL,EPO,CL0531,3,4,2025-04-21,UserC,3
L016019,P101574,TX,HMO,CL0125,1,1,2025-11-03,UserB,4
L016029,P101575,CT,HMO,CL0043,3,3,2025-05-13,UserC,5
L016053,P101577,MA,HMO,CL0842,4,1,2025-03-10,UserC,5
L016054,P101577,MA,HMO,CL0123,4,4,2025-01-30,UserA,1
L016076,P101579,CA,POS,CL0398,3,1,2025-02-14,UserB,3
L016254,P101597,IL,PPO,CL0384,4,2,2025-11-05,UserA,3
L016280,P101600,NJ,POS,CL0023,2,2,2025-01-10,System,5
L016436,P101614,CT,PPO,CL0680,5,5,2025-01-02,System,1
L016444,P101615,CT,PPO,CL0742,2,4,2025-06-13,System,5
L016593,P101631,CT,POS,CL0458,5,3,2025-06-10,UserA,2
L016595,P101631,CT,POS,CL0848,5,3,2025-01-25,System,5
L016739,P101645,TX,EPO,CL0743,4,1,2025-06-30,UserB,4
L016763,P101647,MA,EPO,CL0983,5,3,2025-09-14,System,2
L016801,P101652,NJ,HMO,CL0087,3,3,2025-12-03,UserA,5
L016825,P101655,NY,EPO,CL0852,1,5,2025-04-18,UserC,1
L016938,P101666,PA,HMO,CL0770,1,1,2025-06-10,System,3
L016947,P101667,TX,POS,CL0202,5,1,2025-04-08,System,2
L017043,P101676,IL,EPO,CL0557,2,1,2025-06-08,UserA,5
L017046,P101677,NJ,HMO,CL0760,4,5,2025-11-28,UserA,3
L017117,P101683,TX,HMO,CL0333,3,4,2025-05-13,System,1
L017175,P101690,MA,PPO,CL0539,4,2,2025-01-15,UserA,3
L017491,P101724,TX,HMO,CL0125,2,5,2025-01-04,UserA,4
L017544,P101729,CA,EPO,CL0243,4,4,2025-05-27,System,5
L017598,P101734,NY,POS,CL0872,3,4,2025-04-25,System,2
L017618,P101736,CA,HMO,CL0283,5,5,2025-12-23,UserA,1
L017662,P101739,IL,EPO,CL0946,5,5,2025-05-01,System,2
L017692,P101743,PA,POS,CL0152,2,3,2025-04-29,UserC,5
L017772,P101751,CA,EPO,CL0272,2,1,2025-05-23,UserA,2
L017843,P101758,FL,POS,CL0285,3,5,2025-06-15,UserB,1
L017875,P101761,CA,EPO,CL0973,5,5,2025-06-22,UserC,2
L017936,P101766,PA,POS,CL0899,4,4,2025-02-10,System,5
L017944,P101767,CT,HMO,CL0508,2,4,2025-06-28,UserB,1
